정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
갈산주공2단지,40577,3215,6922,3212,6922,3,327
갈산태화아파트,40542,360,1086,360,1086,0,46
갈산태화아파트,40664,4605,805,4605,805,0,174
갈산태화아파트,40666,346,1473,346,1473,0,58
갈산태화아파트,40667,530,2816,530,2816,0,107
갈월초등학교,40531,88,1023,88,1023,0,35
갈현경로당,41491,25,287,25,287,0,10
갈현경로당앞,41607,202,46,202,46,0,8
갈현교,41608,3,1,3,1,0,0
갈현교,41609,0,12,0,12,0,0
갈현교입구,41492,189,26,185,26,4,6
갈현교입구,41617,5,134,5,134,0,4
갈현동마을,41351,618,549,615,549,3,37
갈현동마을,41352,171,921,170,921,1,35
갑곶돈대.강화전쟁박물관,43365,3,4,3,4,0,0
갑곶돈대.강화전쟁박물관,43728,3,7,3,7,0,0
갑곶돈대입구,43367,2,10,2,10,0,0
갑곶돈대입구,43726,16,5,16,5,0,0
갑륭초교,43374,1,4,1,4,0,0
갑륭초교,43724,10,185,10,185,0,6
갑문,35125,12,336,12,336,0,11
갑문,35504,152,10,152,10,0,5
강남시장,42172,18705,12797,18601,12797,104,1016
강남시장,42173,11336,11154,11307,11154,29,725
강남역도시에빛,31076,3917,6876,3917,6876,0,348
강남역서초현대타워앞,31016,42839,28794,42839,28794,0,2310
강남중교,43213,31,1,31,1,0,1
강남중교,43278,6,38,6,38,0,1
강서중학교,43660,0,123,0,123,0,3
강서중학교,43898,138,7,132,7,6,4
강인여객,40020,1108,1570,1104,1570,4,86
강인여객,40022,1270,813,1266,813,4,67
강화갯벌장어,43633,7,0,7,0,0,0
강화갯벌장어,43671,0,13,0,13,0,0
강화경찰서,43209,214,26,210,26,4,7
강화경찰서,43624,4,221,4,221,0,7
강화고등학교,43564,6,18,6,18,0,0
강화고등학교,43761,29,23,29,23,0,1
강화군 행복센터,43055,118,1608,117,1608,1,55
강화군 행복센터,43056,0,266,0,266,0,8
강화군노인문화센터,90373,14,24,14,24,0,1
강화군노인문화센터,90374,13,3,13,3,0,0
강화군청,43065,3329,933,3251,933,78,137
강화군청,43108,846,2891,834,2891,12,120
강화루지.강남상회,43150,136,76,134,76,2,6
강화루지.강남상회,43250,93,170,93,170,0,8
강화마니산,43001,35,53,35,53,0,2
강화마니산,43002,434,177,433,177,1,19
강화문화원.종합전시관,43097,0,51,0,51,0,1
강화문화원.종합전시관,43098,64,594,64,594,0,21
강화병원,43088,44,1475,41,1475,3,49
강화병원,43089,875,62,874,62,1,30
강화산단,90123,0,9,0,9,0,0
강화산단입구,90096,4,14,4,14,0,0
강화산단입구,90097,4,0,4,0,0,0
강화산성서문,43080,1,25,1,25,0,0
강화산성서문,43081,39,62,39,62,0,3
강화서문,43063,518,293,516,293,2,26
강화서문,43064,256,402,248,402,8,21
강화수양관앞,43467,69,38,69,38,0,3
강화수양관앞,43732,18,42,18,42,0,1
강화슈퍼,43066,578,1267,572,1267,6,59
강화슈퍼,43068,1593,528,1542,528,51,68
