정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
솔빛마을주공아파트,36050,9597,12103,9592,12103,5,700
솔빛주공2단지,36045,1073,877,1060,877,13,62
솔안공원,38348,11585,6914,11563,6914,22,596
솔정,43526,15,1,10,1,5,0
솔정,43871,5,12,5,12,0,0
솔정1리마을회관,90085,0,3,0,3,0,0
솔정1리마을회관,90086,1,0,1,0,0,0
솔정마을,43129,39,4,30,4,9,1
솔정마을,43811,5,0,4,0,1,0
솔정마을,43872,16,32,10,32,6,1
솔정마을,90108,0,11,0,11,0,0
솔정정미소,43130,20,24,20,24,0,1
솔정정미소,43134,31,5,27,5,4,1
솔터마을입구,80327,1032,346,1032,346,0,44
솔터마을입구,80336,1174,1183,1173,1183,1,76
솔펜션,44143,6,5,6,5,0,0
솔펜션,44177,1,3,1,3,0,0
송곡촌,43439,17,50,17,50,0,2
송곡촌,43815,69,12,67,12,2,2
송내고교입구,11014,71,409,69,409,2,15
송내고교입구,11015,735,158,735,158,0,28
송내고등학교,40219,2377,2665,2353,2665,24,162
송내남부역,40761,33,1175,33,1175,0,38
송내역.로데오거리,55267,5283,26952,5260,26952,23,1039
송내역.영화의거리,55263,23765,6808,23686,6808,79,986
송내역남부,56002,86957,71502,86911,71502,46,5111
송내역남부,56005,100016,80838,99870,80838,146,5834
송담초등학교,38667,2156,764,2156,764,0,94
송담초등학교,38668,767,2095,767,2095,0,92
송도1동행정복지센터,38012,4844,12742,4839,12742,5,567
송도2동행정복지센터,38492,4681,3075,4672,3075,9,250
송도2동행정복지센터,38588,1310,1809,1309,1809,1,100
송도MTB파크,38746,181,249,181,249,0,13
송도SK뷰(101동),38635,1715,511,1715,511,0,71
송도SK뷰(105동),38632,65,577,65,577,0,20
송도SK뷰(105동),38633,987,140,987,140,0,36
송도sk뷰,38707,993,3701,992,3701,1,151
송도sk뷰,38708,686,1455,684,1455,2,69
송도고입구,38215,2835,2396,2835,2396,0,168
송도고입구,38221,2275,1060,2272,1060,3,107
송도공영차고지,38472,421,45,421,45,0,15
송도국제교입구,38597,228,0,228,0,0,7
송도국제도시디에트르시그니처뷰,38771,1634,1350,1633,1350,1,96
송도글로벌캠퍼스푸르지오아파트,38711,773,749,773,749,0,49
송도누리공원,38663,4263,4850,4263,4850,0,293
송도누리공원,38664,1060,3669,1060,3669,0,152
송도달빛축제공원,38776,76,298,76,298,0,12
송도달빛축제공원역,38696,19821,3078,19813,3078,8,738
송도달빛축제공원역,38697,2576,16600,2576,16600,0,618
송도더샵그린스퀘어,39843,3777,1531,3775,1531,2,171
송도더샵그린워크,38526,1165,284,1165,284,0,46
송도더샵그린워크2차,38493,2213,2996,2212,2996,1,168
송도더샵마스터뷰21단지,38578,6220,719,6198,719,22,223
송도더샵마스터뷰22단지,38693,682,330,682,330,0,32
송도더샵마스터뷰22단지(2202동),38698,175,431,175,431,0,19
송도더샵마스터뷰22단지(2202동),38712,356,1060,356,1060,0,45
송도더샵마스터뷰22단지(정문),38694,231,1129,231,1129,0,43
송도더샵마스터뷰22단지(하행),38695,205,580,205,580,0,25
송도더샵마스터뷰23단지,38441,3125,2849,3113,2849,12,192
