시즌,에피소드,에피소드 이름,날짜,평점
10,22,The Cognition Regeneration,"Thu, Apr 27, 2017",6.8
10,23,The Gyroscopic Collapse,"Thu, May 4, 2017",7.1
10,24,The Long Distance Dissonance,"Thu, May 11, 2017",8.5
11,1,The Proposal Proposal,"Mon, Sep 25, 2017",7.5
11,2,The Retraction Reaction,"Mon, Oct 2, 2017",7.2
11,3,The Relaxation Integration,"Mon, Oct 9, 2017",7.0
11,4,The Explosion Implosion,"Mon, Oct 16, 2017",7.1
11,5,The Collaboration Contamination,"Mon, Oct 23, 2017",7.3
11,6,The Proton Regeneration,"Thu, Nov 2, 2017",7.2
11,7,The Geology Methodology,"Thu, Nov 9, 2017",7.4
11,8,The Tesla Recoil,"Thu, Nov 16, 2017",7.1
11,9,The Bitcoin Entanglement,"Thu, Nov 30, 2017",7.7
11,10,The Confidence Erosion,"Thu, Dec 7, 2017",7.3
11,11,The Celebration Reverberation,"Thu, Dec 14, 2017",7.1
11,12,The Matrimonial Metric,"Thu, Jan 4, 2018",7.4
11,13,The Solo Oscillation,"Thu, Jan 11, 2018",7.2
11,14,The Separation Triangulation,"Thu, Jan 18, 2018",7.2
11,15,The Novelization Correlation,"Thu, Feb 1, 2018",7.4
11,16,The Neonatal Nomenclature,"Thu, Mar 1, 2018",7.1
11,17,The Athenaeum Allocation,"Thu, Mar 8, 2018",6.8
11,18,The Gates Excitation,"Thu, Mar 29, 2018",7.1
11,19,The Tenant Disassociation,"Thu, Apr 5, 2018",7.2
11,20,The Reclusive Potential,"Thu, Apr 12, 2018",7.1
11,21,The Comet Polarization,"Thu, Apr 19, 2018",7.4
11,22,The Monetary Insufficiency,"Thu, Apr 26, 2018",7.2
11,23,The Sibling Realignment,"Thu, May 3, 2018",7.7
11,24,The Bow Tie Asymmetry,"Thu, May 10, 2018",9.0
12,1,The Conjugal Configuration,"Mon, Sep 24, 2018",7.2
12,2,The Wedding Gift Wormhole,"Thu, Sep 27, 2018",7.6
12,3,The Procreation Calculation,"Thu, Oct 4, 2018",7.2
12,4,The Tam Turbulence,"Thu, Oct 11, 2018",7.0
